Time [Hr:Min:Sec],Neph [ug/cm^3]
16:00:00,28.822
16:00:10,28.842
16:00:20,23.073
16:00:30,17.317
16:00:40,17.32
16:00:50,14.435
16:01:00,17.324
16:01:10,17.332
16:01:20,20.191
16:01:30,14.424
16:01:40,20.189
16:01:50,17.301
16:02:00,17.305
16:02:10,37.54
16:02:20,23.101
16:02:30,20.18
16:02:40,20.198
16:02:50,20.216
16:03:00,20.187
16:03:10,23.071
16:03:20,23.099
16:03:30,25.952
16:03:40,25.981
16:03:50,28.842
16:04:00,23.084
16:04:10,17.305
16:04:20,17.32
16:04:30,23.112
16:04:40,28.838
16:04:50,23.101
16:05:00,17.295
16:05:10,23.06
16:05:20,25.989
16:05:30,23.055
16:05:40,17.295
16:05:50,14.426
16:06:00,17.303
16:06:10,17.309
16:06:20,34.637
16:06:30,23.091
16:06:40,20.218
16:06:50,20.2
16:07:00,25.937
16:07:10,20.216
16:07:20,25.986
16:07:30,25.981
16:07:40,17.295
16:07:50,20.189
16:08:00,14.409
16:08:10,17.303
16:08:20,17.311
16:08:30,14.421
16:08:40,17.326
16:08:50,11.549
16:09:00,14.421
16:09:10,17.328
16:09:20,20.214
16:09:30,17.326
16:09:40,14.426
16:09:50,17.305
16:10:00,14.432
16:10:10,17.328
16:10:20,17.324
16:10:30,11.538
16:10:40,20.209
16:10:50,14.44
16:11:00,11.533
16:11:10,14.44
16:11:20,11.535
16:11:30,14.414
16:11:40,14.43
16:11:50,17.322
16:12:00,11.538
16:12:10,14.449
16:12:20,14.429
16:12:30,11.551
16:12:40,11.538
16:12:50,11.527
16:13:00,14.429
16:13:10,17.315
16:13:20,11.551
16:13:30,11.539
16:13:40,11.538
16:13:50,11.552
16:14:00,14.435
16:14:10,14.442
16:14:20,11.574
16:14:30,11.538
16:14:40,17.322
16:14:50,11.535
16:15:00,14.429
16:15:10,14.435
16:15:20,14.442
16:15:30,11.537
16:15:40,14.336
16:15:50,14.437
16:16:00,17.324
16:16:10,14.424
16:16:20,14.44
16:16:30,14.438
16:16:40,17.305
16:16:50,17.318
16:17:00,14.414
16:17:10,11.534
16:17:20,11.538
16:17:30,11.553
16:17:40,11.505
16:17:50,11.553
16:18:00,14.421
16:18:10,14.44
16:18:20,11.549
16:18:30,11.533
16:18:40,11.548
16:18:50,11.551
16:19:00,8.661
16:19:10,11.551
16:19:20,11.551
16:19:30,14.429
16:19:40,11.498
16:19:50,8.662
16:20:00,14.422
16:20:10,11.546
16:20:20,11.537
16:20:30,11.549
16:20:40,14.416
16:20:50,11.553
16:21:00,11.552
16:21:10,14.418
16:21:20,8.663
16:21:30,8.656
16:21:40,11.537
16:21:50,11.539
16:22:00,11.533
16:22:10,11.537
16:22:20,8.665
16:22:30,11.534
16:22:40,14.424
16:22:50,11.539
16:23:00,20.178
16:23:10,14.421
16:23:20,14.419
16:23:30,11.534
16:23:40,11.531
16:23:50,17.285
16:24:00,11.529
16:24:10,20.171
16:24:20,11.542
16:24:30,11.529
16:24:40,17.281
16:24:50,11.543
16:25:00,11.527
16:25:10,14.427
16:25:20,11.562
16:25:30,17.318
16:25:40,14.409
16:25:50,11.533
16:26:00,17.313
16:26:10,17.295
16:26:20,8.649
16:26:30,11.551
16:26:40,31.704
16:26:50,11.538
16:27:00,14.409
16:27:10,8.649
16:27:20,11.526
16:27:30,20.2
16:27:40,11.544
16:27:50,11.541
16:28:00,11.527
16:28:10,11.541
16:28:20,11.529
16:28:30,8.645
16:28:40,14.429
16:28:50,8.647
16:29:00,11.544
16:29:10,11.535
16:29:20,11.544
16:29:30,11.53
16:29:40,8.651
16:29:50,11.546
16:30:00,8.656
16:30:10,11.531
16:30:20,11.527
16:30:30,8.653
16:30:40,11.542
16:30:50,8.644
16:31:00,8.649
16:31:10,8.646
16:31:20,11.539
16:31:30,14.424
16:31:40,8.641
16:31:50,8.657
16:32:00,8.646
16:32:10,11.53
16:32:20,8.642
16:32:30,8.64
16:32:40,11.525
16:32:50,8.655
16:33:00,8.656
16:33:10,8.646
16:33:20,8.653
16:33:30,11.525
16:33:40,14.406
16:33:50,8.649
16:34:00,11.539
16:34:10,11.53
16:34:20,8.648
16:34:30,11.543
16:34:40,8.646
16:34:50,11.521
16:35:00,8.658
16:35:10,11.522
16:35:20,11.527
16:35:30,8.656
16:35:40,11.542
16:35:50,8.646
16:36:00,11.53
16:36:10,14.432
16:36:20,14.427
16:36:30,14.401
16:36:40,14.403
16:36:50,11.541
16:37:00,11.539
16:37:10,8.649
16:37:20,8.646
16:37:30,11.542
16:37:40,11.541
16:37:50,8.649
16:38:00,8.641
16:38:10,11.525
16:38:20,8.656
16:38:30,8.654
16:38:40,8.655
16:38:50,8.645
16:39:00,8.646
16:39:10,11.543
16:39:20,8.642
16:39:30,8.648
